like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-1.553,2.76,5616.0,462.2,31.75,-4.934,4.0
-1.901,1.279,5916.0,368.5,8.85,-8.3,0.0
-1.767,1.467,5536.0,451.5,14.05,-9.99,1.0
-1.983,2.11,3000.0,1190.0,9.01,-6.19,2.0
-1.734,2.541,5710.0,877.0,37.4,-3.377,3.0
-1.9375,1.351,4764.0,458.2,8.336,-1.338,4.0
-1.721,2.225,4772.0,850.5,8.48,-0.1561,0.0
-1.924,1.959,5516.0,1299.0,1.035,-0.6357,1.0
-1.814,1.355,5400.0,709.5,10.69,-5.355,2.0
-1.595,2.217,4830.0,1299.0,27.03,-0.3816,3.0
-1.585,2.533,3842.0,1072.0,28.12,-8.56,4.0
-2.127,2.95,3366.0,1099.0,11.25,-6.484,0.0
-1.972,1.023,5964.0,1235.0,5.105,-5.586,1.0
-1.8125,1.585,4980.0,732.5,22.97,-8.84,2.0
-2.094,2.85,3060.0,870.5,10.27,-9.67,3.0
-1.928,2.477,4576.0,888.0,37.8,-1.551,4.0
-1.907,1.428,4684.0,1402.0,26.1,-8.03,0.0
-1.908,1.106,5960.0,1121.0,9.82,-7.324,1.0
-2.297,2.03,3382.0,522.0,36.8,-9.836,2.0
-1.713,2.781,4100.0,519.0,33.38,-8.16,3.0
-2.291,1.13,3876.0,377.8,15.11,-2.256,4.0
-3.02,2.95,5396.0,1370.0,6.527,-7.848,0.0
-2.193,2.025,3222.0,1354.0,37.44,-4.207,1.0
-1.976,1.433,3762.0,1114.0,20.86,-3.055,2.0
-2.215,1.161,4988.0,1328.0,26.58,-2.559,3.0
-1.851,2.293,5412.0,1195.0,12.7,-9.11,4.0
-2.096,1.273,5708.0,1179.0,28.36,-7.195,0.0
-2.432,2.541,4670.0,1309.0,1.804,-4.637,1.0
-2.281,1.399,4172.0,909.0,33.44,-9.73,2.0
-2.15,1.881,3910.0,898.5,36.25,-6.895,3.0
-1.668,2.17,4840.0,1131.0,11.16,-0.276,4.0
-1.93,2.215,5150.0,338.0,38.06,-9.91,0.0
-1.887,2.045,3996.0,1103.0,30.38,-3.61,1.0
-1.739,2.914,5756.0,549.0,17.7,-2.22,2.0
-1.45,2.988,4500.0,1048.0,30.02,-3.21,3.0
-1.821,1.788,5164.0,1335.0,0.9307,-1.973,4.0
-1.827,1.28,5840.0,886.0,8.46,-0.7515,0.0
-2.129,2.238,3660.0,734.5,33.53,-1.894,1.0
-2.59,1.347,3554.0,941.5,39.06,-4.03,2.0
-2.06,2.895,4892.0,528.5,8.13,-0.341,3.0
-1.61,2.117,5904.0,734.0,25.92,-2.496,4.0
-1.653,1.755,5660.0,397.0,10.46,-1.216,0.0
-2.197,1.667,3748.0,440.0,27.6,-9.016,1.0
-1.818,2.479,4756.0,711.0,8.4,-1.317,2.0
-1.87,2.857,4644.0,1405.0,18.17,-1.7295,3.0
-1.519,1.883,4490.0,1044.0,18.48,-5.984,4.0
-2.111,1.538,3360.0,665.5,0.6235,-4.86,0.0
-2.266,1.391,3290.0,442.8,16.72,-4.176,1.0
-1.496,2.73,3946.0,1296.0,27.28,-1.333,2.0
-1.456,2.324,5776.0,676.5,23.11,-5.363,3.0
-1.471,2.695,5830.0,1094.0,31.16,-7.004,4.0
-1.423,2.49,5300.0,883.5,21.5,-1.201,0.0
-1.869,1.327,5630.0,588.5,4.883,-9.61,1.0
-1.451,2.355,4930.0,787.5,22.47,-7.434,2.0
-1.555,2.521,5068.0,920.0,27.8,-0.3699,3.0
-1.943,2.357,4908.0,660.5,2.854,-3.512,4.0
-2.29,1.34,3314.0,470.8,16.16,-1.1,0.0
-1.8125,1.781,3964.0,728.5,6.695,-8.58,1.0
